username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JeniWins;2018-05-08 18:37;13;13;"# AZTeachers had to strike to create a teachable moment4 @ dougducey & # azleg . @ AZGOP earned a grade D at best! If it was up to me, I'd send them2 # summerschool If they get expelled in Nov 2018, they'll wished they'd listened 2teachers. Teach them a lesson # GOTV # redforedaz https://twitter.com/UN_Women/status/993849334121803776 …";;@ @;# # # # #;"994028589493272582";https://twitter.com/JeniWins/status/994028589493272582
PrescottMassage;2018-05-08 16:15;0;2;"# NationalTeacherAppreciationDay # TeachersDay # teacherlove # TeacherOfTheYear # ThankATeacher # redforedaz # ThankYouTeachers # special # teacher # give a # handmade # ceramic # windchime https://etsy.me/1gY6zJA pic.twitter.com/4jeruo0kdW";;;# # # # # # # # # # # # #;"993992719914577921";https://twitter.com/PrescottMassage/status/993992719914577921
riva_HH;2018-05-08 15:32;1;3;"I’m loving the policies and ideals that @ BWestbrookAZ8 and @ kathyhoffman_az represent # redforedaz # redfored";;@ @;# #;"993981996069093376";https://twitter.com/riva_HH/status/993981996069093376
gwtiawah;2018-05-08 15:11;2;2;"That cash you gave to Iran could have went to Education. # redforedaz # redfored # purpleforparents # oklaed # okleg # oklahomateacherswalkout";;;# # # # # #;"993976807358681088";https://twitter.com/gwtiawah/status/993976807358681088
52000steps;2018-05-08 13:35;0;0;"So grateful for the many teachers we've had over the years with @ WESDschools through both ALTS and Sahuaro # redforedaz # redfored # TeacherAppreciationDay # TeacherAppreciationWeek # TeacherAppreciation";;@;# # # # #;"993952491808026624";https://twitter.com/52000steps/status/993952491808026624
MitziEpstein;2018-05-08 13:23;14;16;"We still need to fix AZ Education Funding - AZ Republic Editorial Board. You Got That Right! - Mitzi Epstein We need legislators and a governor who hear parents and teachers BEFORE they gather 75k friends and march on the capitol! http://bit.ly/2FTlg3i # redforedaz @ A_DLCC";;@;#;"993949412098424833";https://twitter.com/MitziEpstein/status/993949412098424833
Kate_Selby;2018-05-08 12:55;0;1;"Remember, Remember, on the 6th of November... # redforedaz https://twitter.com/noeygriff/status/993656800221151233 …";;;#;"993942513395290112";https://twitter.com/Kate_Selby/status/993942513395290112
Tea_Party_Chris;2018-05-08 10:31;0;2;"# TeacherAppreciationDay # TeacherAppreciationWeek # PinalCounty # PurpleForParents # RedForEdexposed # RedForEDaz # RedForEd # Red4Ed # MAGA @ dougducey @ _DianeDouglas & # AZleg obviously did not read this article but no doubt @ KellyTownsend11 did https://www.forbes.com/sites/warrenmeyer/2011/12/22/the-teacher-salary-myth-are-teachers-underpaid/amp/?__twitter_impression=true …";;@ @ @;# # # # # # # # # #;"993906197920038912";https://twitter.com/Tea_Party_Chris/status/993906197920038912
coton_luver;2018-05-08 09:38;1;3;"# RedforEd The Arizona Teacher Walkout: How three decades of Republicans tax cuts hobbled public school funding. https://www.vox.com/2018/4/25/17276284/arizona-teacher-strike-tax-cut-funding-data … # RedforEd # redforedaz pic.twitter.com/CAb1fr4lTk";;;# # #;"993892929000296448";https://twitter.com/coton_luver/status/993892929000296448
coton_luver;2018-05-08 09:38;8;4;"# RedforEd The Arizona Teacher Walkout: How three decades of tax cuts hobbled public school funding. https://www.vox.com/2018/4/25/17276284/arizona-teacher-strike-tax-cut-funding-data … # RedforEd # redforedaz pic.twitter.com/TKy1tiVLwL";;;# # #;"993892788935651329";https://twitter.com/coton_luver/status/993892788935651329
DSavesBreakfast;2018-05-08 09:15;0;0;"# redfored teacher appreciation week cookies! # redforedaz pic.twitter.com/oVk8ye9Fkv";;;# #;"993887004353015813";https://twitter.com/DSavesBreakfast/status/993887004353015813
CollinYourbs;2018-05-08 07:51;0;1;"This applies entirely to our situation in Arizona too. Tax policy has devastated school funding here as well. If you haven't connected with # redforedaz @ arizona_sos @ AZEdUnited you should connect because you share a similar mission and values.";;@ @;#;"993865920605908992";https://twitter.com/CollinYourbs/status/993865920605908992
VillasAtSD;2018-05-08 07:49;0;0;"We appreciate all the hardworking, selfless, and dedicated educators out there! Tell us who your favorite teacher was and why. Happy # TeacherAppreciationDay # ThankATeacher # REDFORED # RedForEdAZ pic.twitter.com/iUCFvSNREw";;;# # # #;"993865470011944961";https://twitter.com/VillasAtSD/status/993865470011944961
adantie;2018-05-08 02:31;4;15;"AZ educators have never let my children down. I have 1 about to graduate, one halfway through, and one just beginning. We love our teachers and thank them for showing up every day # redforedaz # InvestInEd # NoProp305 @ arizona_sos @ AEUsupporters @ CasteelColts @ bashabearnationhttps://twitter.com/arizona_sos/status/993498466935390209 …";;@ @ @ @;# # #;"993785521452208128";https://twitter.com/adantie/status/993785521452208128
ElectKristinDP;2018-05-07 21:26;14;23;"I’m running for state senate. Please consider signing my petition if you are in Arizona LD15! I’ve worked in higher ed my entire adult life and feel we need # redforedrepresenatives. # redforedaz";;;# #;"993708745971519488";https://twitter.com/ElectKristinDP/status/993708745971519488
SmallMarvelsTAZ;2018-05-07 20:45;0;0;"There are many ways to support Teachers helping our children at home is one of them. Supporting Your Learner. # redforedaz https://to.pbs.org/2rt7nVa pic.twitter.com/rC7P3bGSJz";;;#;"993698488150982656";https://twitter.com/SmallMarvelsTAZ/status/993698488150982656
Viking_SmithV;2018-05-07 18:53;0;0;"# redforedaz # PurpleForParents https://arizonadailyindependent.com/2018/05/06/arizona-teacher-retaliated-against-for-opposition-to-strike/ …";;;# #;"993670148912431104";https://twitter.com/Viking_SmithV/status/993670148912431104
JohnHookfox10;2018-05-07 15:59;1;4;"This week on Newsmaker Sunday. Vice President Mike Pence, @ VP, # Congressman @ TomOHalleran and discussion about # RedforEdAz https://www.youtube.com/watch?v=0cigiFq07Yo … # fox10phoenix";;@ @;# # #;"993626397590544384";https://twitter.com/JohnHookfox10/status/993626397590544384
kevinredefined;2018-05-07 12:52;0;1;"# Red4Ed # RedforEd # redforedaz # PurpleForParents must defeat the indoctrination by these classroom political activists through # HomeSchooling or # OnlineSchooling when possible. http://www.homeschoolfacts.com/state-laws/arizona-homeschool-state-laws.html …";;;# # # # # #;"993579299365048320";https://twitter.com/kevinredefined/status/993579299365048320
PopResistance;2018-05-07 08:59;3;3;"“It needs to be nationwide strike. That’s what it would take.... I think that the workers are more powerful than the state and even the federal government. The majority of America is the working class." https://popularresistance.org/arizona-teachers-oppose-union-sellout-and-call-for-nationwide-strike/ … # redforedaz # TeacherAppreciationWeek # Arizona";;;# # #;"993520710562664448";https://twitter.com/PopResistance/status/993520710562664448
arkticpuffin;2018-05-07 08:57;0;1;"So Charter schools can create private companies they contract with without any oversight or competitive bid process? # redfored # redforedaz https://twitter.com/brahmresnik/status/993515645621825536 …";;;# #;"993520159410176000";https://twitter.com/arkticpuffin/status/993520159410176000
oplzsno;2018-05-07 07:59;0;0;"# sadday # wherearetheteachers oh wait # redforedaz # TeacherAppreciation # RedForEdhttps://twitter.com/ktvu/status/993498186177130497 …";;;# # # # #;"993505484148654080";https://twitter.com/oplzsno/status/993505484148654080
kevinredefined;2018-05-07 07:32;2;1;"# RedForEdExposed # RedForEd # Redforedaz # Red4Ed You are guilty of violating AZ state law by using a public school bus as a political platform.pic.twitter.com/wPaaWHt0Yg";;;# # # #;"993498771785854978";https://twitter.com/kevinredefined/status/993498771785854978
HthrLynnJ;2018-05-07 07:05;0;1;"Striking Arizona teachers win 19% raise, end walkout https://buff.ly/2jB565X # redforedaz # Istandwithteachers";;;# #;"993491894440288258";https://twitter.com/HthrLynnJ/status/993491894440288258
grannydebs52;2018-05-07 06:24;2;3;"# redforedaz https://twitter.com/Will_Gaona/status/992888923557801984 …";;;#;"993481809634603008";https://twitter.com/grannydebs52/status/993481809634603008
